X Y Z sizeX sizeY sizeZ
4 0 1 2 8 1
6 0 1 2 8 1
6 16 1 2 8 1
8 8 1 2 8 1
8 16 1 2 8 1
10 8 1 2 8 1
10 16 1 2 8 1
12 8 1 2 8 1
12 16 1 2 8 1
14 8 1 2 8 1
14 16 1 2 8 1
14 24 1 2 8 1
16 8 1 2 8 1
16 16 1 2 8 1
16 24 1 2 8 1
18 8 1 2 8 1
18 16 1 2 8 1
18 24 1 2 8 1
20 8 1 2 8 1
20 16 1 2 8 1
20 24 1 2 8 1
22 8 1 2 8 1
22 16 1 2 8 1
22 24 1 2 8 1
24 8 1 2 8 1
24 16 1 2 8 1
24 24 1 2 8 1
26 8 1 2 8 1
26 16 1 2 8 1
28 8 1 2 8 1
28 16 1 2 8 1
30 8 1 2 8 1
30 16 1 2 8 1
32 0 1 2 8 1
32 16 1 2 8 1
34 0 1 2 8 1
4 17 1 2 8 1
34 17 1 2 8 1
8 4 1 8 2 1
8 6 1 8 2 1
16 6 1 8 2 1
16 32 1 8 2 1
16 34 1 8 2 1
24 4 1 8 2 1
24 6 1 8 2 1
0 25 1 8 2 1
26 24 1 8 2 1
2 0 1 2 4 1
2 20 1 2 4 1
6 8 1 2 4 1
32 8 1 2 4 1
36 0 1 2 4 1
36 20 1 2 4 1
38 22 1 2 4 1
8 2 1 4 2 1
8 24 1 4 2 1
28 2 1 4 2 1
17 36 1 4 2 1
34 25 1 4 2 1
0 22 1 2 2 1
4 8 1 2 2 1
6 12 1 2 2 1
12 2 1 2 2 1
12 24 1 2 2 1
16 4 1 2 2 1
22 4 1 2 2 1
26 2 1 2 2 1
32 12 1 2 2 1
34 8 1 2 2 1
21 36 1 2 2 1
0 24 1 4 1 1
8 26 1 4 1 1
28 26 1 4 1 1
13 28 1 1 4 1
15 32 1 1 4 1
24 32 1 1 4 1
26 28 1 1 4 1
2 4 1 2 1 1
6 15 1 2 1 1
6 24 1 2 1 1
12 26 1 2 1 1
26 26 1 2 1 1
32 15 1 2 1 1
32 26 1 2 1 1
36 4 1 2 1 1
36 24 1 2 1 1
38 26 1 2 1 1
8 0 1 1 2 1
31 0 1 1 2 1
13 27 1 1 1 1
26 27 1 1 1 1
