X Y Z sizeX sizeY sizeZ
2 4 0 8 2 1
3 1 0 8 2 1
4 6 0 8 2 1
10 3 0 4 2 1
12 5 0 2 2 1
4 3 0 4 1 1
8 8 0 4 1 1
6 0 0 3 1 1
5 8 0 3 1 1
2 6 0 2 1 1
8 3 0 2 1 1
10 5 0 2 1 1
11 2 0 2 1 1
3 3 0 1 1 1
11 1 0 1 1 1
14 4 0 1 1 1
6 0 1 2 8 1
8 0 1 2 8 1
10 1 1 2 8 1
3 1 1 2 4 1
12 2 1 2 4 1
3 5 1 2 2 1
5 4 1 1 4 1
14 2 1 1 4 1
5 8 1 4 1 1
5 1 1 1 3 1
12 6 1 3 1 1
2 5 1 1 1 1
9 8 1 1 1 1
12 7 1 1 1 1
8 4 2 8 2 1
4 2 2 8 2 1
5 6 2 8 2 1
4 4 2 4 2 1
8 0 2 2 2 1
8 8 2 2 2 1
12 2 2 2 2 1
5 1 2 3 1 1
10 1 2 3 1 1
10 8 2 3 1 1
6 8 2 2 1 1
14 3 2 2 1 1
13 6 2 2 1 1
3 5 2 1 1 1
4 6 2 1 1 1
7 9 2 1 1 1
10 0 2 1 1 1
14 2 2 1 1 1
8 0 3 2 8 1
6 1 3 2 8 1
10 1 3 2 8 1
4 4 3 2 4 1
12 4 3 2 4 1
2 4 3 2 2 1
4 2 3 2 2 1
8 8 3 2 2 1
12 2 3 2 2 1
14 4 3 2 2 1
14 2 3 1 2 1
2 3 3 2 1 1
3 6 3 1 1 1
5 1 3 1 1 1
7 0 3 1 1 1
7 9 3 1 1 1
10 0 3 1 1 1
10 9 3 1 1 1
12 1 3 1 1 1
12 8 3 1 1 1
14 6 3 1 1 1
15 3 3 1 1 1
8 4 4 8 2 1
2 2 4 8 2 1
3 6 4 8 2 1
4 4 4 4 2 1
8 0 4 4 2 1
7 8 4 4 2 1
10 2 4 4 2 1
2 4 4 2 2 1
12 6 4 2 2 1
4 1 4 4 1 1
11 6 4 1 3 1
14 3 4 2 1 1
1 4 4 1 2 1
2 6 4 1 1 1
3 1 4 1 1 1
6 8 4 1 1 1
7 0 4 1 1 1
12 1 4 1 1 1
12 8 4 1 1 1
8 0 5 2 8 1
10 0 5 2 8 1
6 1 5 2 8 1
2 4 5 2 4 1
4 4 5 2 4 1
12 4 5 2 4 1
1 2 5 4 2 1
8 8 5 2 2 1
12 2 5 2 2 1
14 3 5 1 3 1
1 4 5 1 3 1
5 1 5 1 3 1
10 8 5 3 1 1
6 9 5 2 1 1
12 1 5 2 1 1
3 1 5 2 1 1
7 0 5 1 1 1
10 9 5 1 1 1
15 4 5 1 1 1
1 2 6 8 2 1
1 4 6 8 2 1
2 6 6 8 2 1
10 0 6 2 8 1
6 8 6 4 2 1
12 4 6 2 4 1
8 0 6 2 2 1
12 2 6 2 2 1
4 1 6 4 1 1
9 2 6 1 4 1
10 8 6 3 1 1
14 3 6 1 3 1
2 1 6 2 1 1
4 8 6 2 1 1
1 6 6 1 1 1
7 0 6 1 1 1
10 9 6 1 1 1
12 1 6 1 1 1
8 0 7 2 8 1
10 0 7 2 8 1
4 1 7 2 8 1
6 1 7 2 8 1
2 4 7 2 4 1
12 4 7 2 4 1
2 2 7 2 2 1
8 8 7 2 2 1
12 2 7 2 2 1
0 3 7 2 2 1
10 8 7 3 1 1
14 4 7 1 2 1
1 5 7 1 2 1
2 1 7 2 1 1
1 2 7 1 1 1
7 0 7 1 1 1
7 9 7 1 1 1
10 9 7 1 1 1
12 1 7 1 1 1
0 4 8 8 2 1
1 2 8 8 2 1
2 6 8 8 2 1
10 1 8 2 8 1
12 4 8 2 4 1
8 0 8 2 2 1
8 4 8 2 2 1
12 2 8 2 2 1
4 1 8 4 1 1
4 8 8 4 1 1
2 1 8 2 1 1
8 8 8 2 1 1
9 2 8 1 2 1
0 3 8 1 1 1
1 6 8 1 1 1
9 9 8 1 1 1
10 0 8 1 1 1
12 1 8 1 1 1
6 1 9 2 8 1
8 1 9 2 8 1
2 4 9 2 4 1
4 4 9 2 4 1
10 4 9 2 4 1
12 2 9 2 4 1
1 1 9 4 2 1
10 2 9 2 2 1
1 3 9 1 4 1
2 3 9 4 1 1
12 6 9 1 2 1
5 1 9 1 2 1
10 1 9 2 1 1
13 6 9 1 1 1
0 2 10 8 2 1
0 4 10 8 2 1
3 6 10 8 2 1
8 2 10 4 2 1
8 4 10 4 2 1
2 0 10 2 2 1
12 4 10 2 2 1
11 6 10 2 2 1
8 1 10 3 1 1
0 1 10 2 1 1
12 3 10 2 1 1
1 6 10 2 1 1
12 2 10 1 1 1
0 2 11 8 2 1
0 4 11 8 2 1
8 4 11 2 4 1
10 4 11 2 4 1
8 2 11 4 2 1
2 0 11 2 2 1
4 6 11 2 2 1
12 3 11 1 4 1
1 6 11 3 1 1
1 0 11 1 2 1
7 6 11 1 2 1
0 1 11 1 1 1
6 6 11 1 1 1
0 4 12 8 2 1
0 2 12 4 2 1
8 4 12 4 2 1
1 0 12 2 2 1
8 3 12 4 1 1
1 6 12 4 1 1
8 6 12 3 1 1
4 3 12 2 1 1
0 1 12 1 1 1
3 1 12 1 1 1
4 2 12 1 1 1
5 6 12 1 1 1
7 3 12 1 1 1
9 2 12 1 1 1
0 1 13 2 4 1
2 1 13 2 4 1
1 5 13 4 2 1
4 2 13 1 3 1
1 0 13 2 1 1
0 5 13 1 1 1
5 4 13 1 1 1
2 1 14 2 8 1
0 2 14 2 2 1
4 5 14 2 2 1
1 4 14 1 3 1
4 2 14 1 3 1
0 4 14 1 1 1
1 1 14 1 1 1
2 9 14 1 1 1
2 2 15 2 8 1
4 4 15 2 2 1
0 3 15 2 2 1
4 6 15 4 1 1
4 2 15 1 2 1
2 10 15 2 1 1
1 2 15 1 1 1
1 5 15 1 1 1
6 5 15 1 1 1
3 5 16 4 2 1
2 8 16 2 4 1
7 6 16 2 2 1
2 7 16 2 1 1
5 7 16 2 1 1
1 8 16 1 1 1
2 6 16 1 1 1
4 4 16 1 1 1
2 8 17 2 4 1
6 6 17 2 2 1
4 5 17 2 2 1
1 8 17 1 3 1
8 7 17 1 2 1
2 7 17 2 1 1
5 7 17 1 1 1
6 5 17 1 1 1
7 8 17 1 1 1
2 10 18 2 2 1
6 6 18 2 2 1
7 8 18 2 1 1
1 10 18 1 1 1
2 9 18 1 1 1
5 6 18 1 1 1
6 5 18 1 1 1
8 7 18 1 1 1
6 6 19 2 2 1
2 10 19 1 2 1
8 7 19 1 2 1
3 11 19 1 1 1
7 8 19 1 1 1
