X Y Z sizeX sizeY sizeZ
18 23 0 8 2 1
4 24 0 4 2 1
4 26 0 4 2 1
4 28 0 4 2 1
4 30 0 4 2 1
16 14 0 4 2 1
20 26 0 4 2 1
5 15 0 4 2 1
5 22 0 4 2 1
5 32 0 4 2 1
5 34 0 4 2 1
6 13 0 4 2 1
6 17 0 4 2 1
17 16 0 4 2 1
17 46 0 4 2 1
18 28 0 4 2 1
18 30 0 4 2 1
18 32 0 4 2 1
18 34 0 4 2 1
19 44 0 4 2 1
21 42 0 4 2 1
22 40 0 4 2 1
23 18 0 4 2 1
23 38 0 4 2 1
24 21 0 4 2 1
24 35 0 4 2 1
8 24 0 2 2 1
18 18 0 2 2 1
18 26 0 2 2 1
20 14 0 2 2 1
24 16 0 2 2 1
26 24 0 2 2 1
26 26 0 2 2 1
26 28 0 2 2 1
26 30 0 2 2 1
26 32 0 2 2 1
7 36 0 2 2 1
9 15 0 2 2 1
19 36 0 2 2 1
20 25 0 4 1 1
6 19 0 4 1 1
17 13 0 4 1 1
18 22 0 4 1 1
24 20 0 3 1 1
24 37 0 3 1 1
25 34 0 3 1 1
18 25 0 2 1 1
24 25 0 2 1 1
26 23 0 2 1 1
3 24 0 1 1 1
3 25 0 1 1 1
3 26 0 1 1 1
4 23 0 1 1 1
6 36 0 1 1 1
7 20 0 1 1 1
8 26 0 1 1 1
8 27 0 1 1 1
8 28 0 1 1 1
8 29 0 1 1 1
8 30 0 1 1 1
8 31 0 1 1 1
9 23 0 1 1 1
9 34 0 1 1 1
10 14 0 1 1 1
17 18 0 1 1 1
18 36 0 1 1 1
18 45 0 1 1 1
19 20 0 1 1 1
20 18 0 1 1 1
20 19 0 1 1 1
20 43 0 1 1 1
21 16 0 1 1 1
21 17 0 1 1 1
21 36 0 1 1 1
21 46 0 1 1 1
22 22 0 1 1 1
22 28 0 1 1 1
22 29 0 1 1 1
22 30 0 1 1 1
22 31 0 1 1 1
22 32 0 1 1 1
23 16 0 1 1 1
23 17 0 1 1 1
23 44 0 1 1 1
25 26 0 1 1 1
25 27 0 1 1 1
25 28 0 1 1 1
25 29 0 1 1 1
25 30 0 1 1 1
25 31 0 1 1 1
25 32 0 1 1 1
25 33 0 1 1 1
26 40 0 1 1 1
4 24 1 2 8 1
6 24 1 2 8 1
6 32 1 2 8 1
8 24 1 2 8 1
8 32 1 2 8 1
18 24 1 2 8 1
18 32 1 2 8 1
20 24 1 2 8 1
22 24 1 2 8 1
24 16 1 2 8 1
24 24 1 2 8 1
24 32 1 2 8 1
26 24 1 2 8 1
26 32 1 2 8 1
6 13 1 2 8 1
11 28 1 2 8 1
13 28 1 2 8 1
18 13 1 2 8 1
22 39 1 2 8 1
4 32 1 2 4 1
8 16 1 2 4 1
16 44 1 2 4 1
18 44 1 2 4 1
20 32 1 2 4 1
20 44 1 2 4 1
24 40 1 2 4 1
26 20 1 2 4 1
15 30 1 2 4 1
16 14 1 2 4 1
20 14 1 2 4 1
6 22 1 2 2 1
8 14 1 2 2 1
14 46 1 2 2 1
18 22 1 2 2 1
20 22 1 2 2 1
20 36 1 2 2 1
20 42 1 2 2 1
22 22 1 2 2 1
22 32 1 2 2 1
3 24 1 1 4 1
17 32 1 1 4 1
17 36 1 1 4 1
23 16 1 1 4 1
26 16 1 1 4 1
28 24 1 1 4 1
28 28 1 1 4 1
28 32 1 1 4 1
5 14 1 1 4 1
10 14 1 1 4 1
10 30 1 1 4 1
17 24 1 1 3 1
20 18 1 1 3 1
23 36 1 1 3 1
3 28 1 1 3 1
17 29 1 1 3 1
20 38 1 1 3 1
22 34 1 1 3 1
5 22 1 1 2 1
5 36 1 1 2 1
8 22 1 1 2 1
15 28 1 1 2 1
15 34 1 1 2 1
17 18 1 1 2 1
23 20 1 1 2 1
24 44 1 1 2 1
26 40 1 1 2 1
4 23 1 1 1 1
4 36 1 1 1 1
5 18 1 1 1 1
7 40 1 1 1 1
8 13 1 1 1 1
8 20 1 1 1 1
8 40 1 1 1 1
9 13 1 1 1 1
9 23 1 1 1 1
9 40 1 1 1 1
10 18 1 1 1 1
10 36 1 1 1 1
10 38 1 1 1 1
12 36 1 1 1 1
13 36 1 1 1 1
14 36 1 1 1 1
14 45 1 1 1 1
15 45 1 1 1 1
15 48 1 1 1 1
16 34 1 1 1 1
16 48 1 1 1 1
17 13 1 1 1 1
17 40 1 1 1 1
17 48 1 1 1 1
18 40 1 1 1 1
18 48 1 1 1 1
19 40 1 1 1 1
19 43 1 1 1 1
19 48 1 1 1 1
20 13 1 1 1 1
20 48 1 1 1 1
21 18 1 1 1 1
21 38 1 1 1 1
21 41 1 1 1 1
23 15 1 1 1 1
24 15 1 1 1 1
25 15 1 1 1 1
27 19 1 1 1 1
28 23 1 1 1 1
8 28 2 8 2 1
8 30 2 8 2 1
8 32 2 8 2 1
8 34 2 8 2 1
8 36 2 8 2 1
8 38 2 8 2 1
16 28 2 8 2 1
16 30 2 8 2 1
16 32 2 8 2 1
16 34 2 8 2 1
16 36 2 8 2 1
16 38 2 8 2 1
16 44 2 8 2 1
13 46 2 8 2 1
17 24 2 8 2 1
17 26 2 8 2 1
17 40 2 8 2 1
18 42 2 8 2 1
4 24 2 4 2 1
4 26 2 4 2 1
4 28 2 4 2 1
4 30 2 4 2 1
4 32 2 4 2 1
4 34 2 4 2 1
4 36 2 4 2 1
8 40 2 4 2 1
12 26 2 4 2 1
16 14 2 4 2 1
16 16 2 4 2 1
16 48 2 4 2 1
24 20 2 4 2 1
24 22 2 4 2 1
24 28 2 4 2 1
24 30 2 4 2 1
24 32 2 4 2 1
24 34 2 4 2 1
24 36 2 4 2 1
24 38 2 4 2 1
5 14 2 4 2 1
5 16 2 4 2 1
6 18 2 4 2 1
17 18 2 4 2 1
23 16 2 4 2 1
23 18 2 4 2 1
25 24 2 4 2 1
25 26 2 4 2 1
6 22 2 2 2 1
6 38 2 2 2 1
6 40 2 2 2 1
8 24 2 2 2 1
8 26 2 2 2 1
14 44 2 2 2 1
20 14 2 2 2 1
20 16 2 2 2 1
20 22 2 2 2 1
9 14 2 2 2 1
9 16 2 2 2 1
13 42 2 2 2 1
21 46 2 2 2 1
25 40 2 2 2 1
6 13 2 4 1 1
6 20 2 4 1 1
17 13 2 4 1 1
12 40 2 3 1 1
18 20 2 3 1 1
7 42 2 3 1 1
23 15 2 3 1 1
4 23 2 2 1 1
4 38 2 2 1 1
8 23 2 2 1 1
