X Y Z sizeX sizeY sizeZ
4 16 0 2 8 1
10 16 0 2 8 1
12 16 0 2 8 1
14 16 0 2 8 1
2 13 0 2 8 1
11 8 0 2 8 1
4 8 0 2 2 1
4 10 0 2 2 1
4 14 0 2 2 1
10 26 0 2 2 1
12 24 0 2 2 1
12 26 0 2 2 1
14 10 0 2 2 1
14 12 0 2 2 1
14 14 0 2 2 1
6 17 0 2 2 1
7 19 0 2 2 1
8 17 0 2 2 1
9 8 0 2 2 1
4 7 0 2 1 1
4 13 0 2 1 1
8 26 0 2 1 1
10 7 0 2 1 1
14 9 0 2 1 1
14 24 0 2 1 1
3 12 0 2 1 1
9 10 0 2 1 1
3 8 0 1 2 1
3 10 0 1 2 1
6 8 0 1 2 1
10 14 0 1 2 1
13 10 0 1 2 1
13 12 0 1 2 1
13 14 0 1 2 1
16 12 0 1 2 1
16 14 0 1 2 1
16 16 0 1 2 1
16 18 0 1 2 1
16 20 0 1 2 1
3 21 0 1 2 1
6 10 0 1 1 1
9 27 0 1 1 1
10 11 0 1 1 1
10 13 0 1 1 1
10 28 0 1 1 1
11 25 0 1 1 1
13 9 0 1 1 1
14 25 0 1 1 1
4 16 1 2 8 1
6 16 1 2 8 1
8 16 1 2 8 1
10 16 1 2 8 1
12 16 1 2 8 1
14 16 1 2 8 1
2 13 1 2 8 1
11 8 1 2 8 1
7 24 1 8 2 1
4 8 1 2 2 1
4 10 1 2 2 1
4 14 1 2 2 1
8 26 1 2 2 1
10 26 1 2 2 1
12 26 1 2 2 1
14 10 1 2 2 1
14 12 1 2 2 1
14 14 1 2 2 1
2 21 1 2 2 1
9 8 1 2 2 1
4 7 1 2 1 1
4 13 1 2 1 1
10 7 1 2 1 1
10 28 1 2 1 1
14 9 1 2 1 1
9 10 1 2 1 1
9 15 1 2 1 1
3 8 1 1 2 1
3 10 1 1 2 1
6 8 1 1 2 1
13 10 1 1 2 1
13 12 1 1 2 1
13 14 1 1 2 1
16 12 1 1 2 1
16 14 1 1 2 1
16 16 1 1 2 1
16 18 1 1 2 1
16 20 1 1 2 1
10 13 1 1 2 1
4 12 1 1 1 1
6 10 1 1 1 1
10 11 1 1 1 1
13 9 1 1 1 1
15 24 1 1 1 1
