X Y Z sizeX sizeY sizeZ
2 17 0 8 2 1
10 16 0 2 8 1
12 16 0 2 8 1
14 16 0 2 8 1
3 8 0 2 8 1
11 8 0 2 8 1
2 19 0 4 2 1
9 26 0 4 2 1
13 12 0 4 2 1
13 14 0 4 2 1
4 22 0 2 2 1
12 24 0 2 2 1
14 10 0 2 2 1
5 8 0 2 2 1
7 19 0 2 2 1
9 8 0 2 2 1
2 16 0 4 1 1
16 16 0 1 4 1
3 21 0 3 1 1
13 9 0 3 1 1
2 13 0 1 3 1
5 13 0 1 3 1
10 13 0 1 3 1
4 7 0 2 1 1
10 7 0 2 1 1
14 24 0 2 1 1
5 10 0 2 1 1
9 10 0 2 1 1
13 10 0 1 2 1
13 26 0 1 2 1
16 20 0 1 2 1
3 22 0 1 1 1
5 11 0 1 1 1
8 26 0 1 1 1
10 11 0 1 1 1
10 28 0 1 1 1
11 25 0 1 1 1
14 25 0 1 1 1
4 16 1 2 8 1
6 16 1 2 8 1
8 16 1 2 8 1
10 16 1 2 8 1
12 16 1 2 8 1
14 16 1 2 8 1
2 13 1 2 8 1
11 8 1 2 8 1
7 24 1 8 2 1
4 8 1 2 4 1
14 12 1 2 4 1
8 26 1 4 2 1
4 14 1 2 2 1
12 26 1 2 2 1
14 10 1 2 2 1
2 21 1 2 2 1
7 14 1 2 2 1
9 8 1 2 2 1
3 8 1 1 4 1
13 12 1 1 4 1
16 12 1 1 4 1
16 16 1 1 4 1
8 28 1 4 1 1
3 24 1 4 1 1
13 9 1 1 3 1
6 8 1 1 3 1
10 13 1 1 3 1
16 20 1 1 3 1
4 12 1 1 2 1
7 26 1 1 2 1
10 10 1 1 2 1
14 8 1 1 2 1
4 7 1 2 1 1
10 7 1 2 1 1
3 23 1 1 1 1
5 13 1 1 1 1
6 15 1 1 1 1
9 10 1 1 1 1
9 15 1 1 1 1
12 28 1 1 1 1
14 26 1 1 1 1
15 9 1 1 1 1
15 24 1 1 1 1
8 14 2 8 2 1
8 16 2 8 2 1
8 18 2 8 2 1
8 20 2 8 2 1
8 22 2 8 2 1
3 24 2 8 2 1
6 26 2 8 2 1
2 16 2 2 8 1
4 16 2 2 8 1
6 16 2 2 8 1
3 8 2 2 8 1
12 10 2 4 2 1
11 24 2 4 2 1
10 8 2 2 4 1
6 14 2 2 2 1
10 12 2 2 2 1
14 12 2 2 2 1
5 9 2 2 2 1
8 28 2 4 1 1
1 16 2 1 4 1
16 12 2 1 4 1
