X Y Z sizeX sizeY sizeZ
3 9 0 2 2 1
3 11 0 2 2 1
3 13 0 2 2 1
3 15 0 2 2 1
3 17 0 2 2 1
3 19 0 2 2 1
3 21 0 2 2 1
5 9 0 2 2 1
5 17 0 2 2 1
7 17 0 2 2 1
7 19 0 2 2 1
9 9 0 2 2 1
9 17 0 2 2 1
11 9 0 2 2 1
11 11 0 2 2 1
11 13 0 2 2 1
11 15 0 2 2 1
11 17 0 2 2 1
11 19 0 2 2 1
11 21 0 2 2 1
11 25 0 2 2 1
13 9 0 2 2 1
13 11 0 2 2 1
13 13 0 2 2 1
13 15 0 2 2 1
13 17 0 2 2 1
13 19 0 2 2 1
13 21 0 2 2 1
13 23 0 2 2 1
4 7 0 2 2 1
9 26 0 2 2 1
10 7 0 2 2 1
15 12 0 2 2 1
15 14 0 2 2 1
15 16 0 2 2 1
15 18 0 2 2 1
15 20 0 2 2 1
11 23 0 2 1 1
11 27 0 2 1 1
13 25 0 2 1 1
4 23 0 2 1 1
2 13 0 1 2 1
2 15 0 1 2 1
2 17 0 1 2 1
2 19 0 1 2 1
5 13 0 1 2 1
5 15 0 1 2 1
5 19 0 1 2 1
5 21 0 1 2 1
10 13 0 1 2 1
10 15 0 1 2 1
10 19 0 1 2 1
10 21 0 1 2 1
15 9 0 1 2 1
15 23 0 1 2 1
13 26 0 1 2 1
3 8 0 1 1 1
5 11 0 1 1 1
6 8 0 1 1 1
8 26 0 1 1 1
9 8 0 1 1 1
10 11 0 1 1 1
10 23 0 1 1 1
10 28 0 1 1 1
12 8 0 1 1 1
12 24 0 1 1 1
15 11 0 1 1 1
15 22 0 1 1 1
