X Y Z sizeX sizeY sizeZ
4 4 0 2 2 1
4 18 0 2 2 1
1 4 0 2 2 1
1 17 0 2 2 1
4 6 0 2 1 1
4 17 0 2 1 1
1 6 0 2 1 1
1 19 0 2 1 1
4 4 1 2 2 1
4 18 1 2 2 1
1 5 1 2 2 1
1 17 1 2 2 1
1 19 1 1 1 1
2 4 1 1 1 1
2 19 1 1 1 1
4 6 1 1 1 1
4 17 1 1 1 1
5 6 1 1 1 1
5 17 1 1 1 1
4 6 2 2 2 1
4 18 2 2 2 1
1 5 2 2 2 1
1 18 2 2 2 1
4 5 2 2 1 1
1 7 2 2 1 1
4 6 3 2 2 1
4 18 3 2 2 1
1 5 3 2 2 1
1 17 3 2 2 1
1 7 3 1 1 1
1 19 3 1 1 1
2 7 3 1 1 1
2 19 3 1 1 1
4 5 3 1 1 1
4 17 3 1 1 1
5 5 3 1 1 1
5 17 3 1 1 1
4 6 4 2 2 1
4 18 4 2 2 1
1 5 4 2 2 1
1 17 4 2 2 1
4 5 4 2 1 1
4 17 4 2 1 1
1 7 4 2 1 1
1 19 4 2 1 1
1 16 5 2 4 1
4 6 5 2 2 1
4 18 5 2 2 1
1 5 5 2 2 1
4 16 5 1 2 1
1 7 5 1 1 1
2 7 5 1 1 1
4 5 5 1 1 1
5 5 5 1 1 1
5 17 5 1 1 1
4 6 6 2 2 1
4 16 6 2 2 1
4 18 6 2 2 1
0 5 6 2 2 1
0 17 6 2 2 1
4 5 6 3 1 1
1 7 6 2 1 1
1 16 6 2 1 1
1 19 6 2 1 1
2 5 6 1 1 1
2 6 6 1 1 1
2 17 6 1 1 1
2 18 6 1 1 1
6 6 6 1 1 1
6 17 6 1 1 1
6 18 6 1 1 1
1 15 7 2 4 1
4 15 7 2 4 1
2 8 7 2 2 1
4 6 7 2 2 1
0 5 7 2 2 1
0 16 7 1 3 1
2 5 7 1 3 1
4 8 7 1 3 1
6 16 7 1 3 1
6 5 7 1 2 1
1 7 7 1 1 1
1 19 7 1 1 1
2 10 7 1 1 1
2 19 7 1 1 1
3 10 7 1 1 1
4 5 7 1 1 1
5 5 7 1 1 1
5 19 7 1 1 1
0 6 8 4 2 1
0 16 8 4 2 1
1 8 8 4 2 1
1 10 8 4 2 1
2 12 8 2 2 1
2 14 8 2 2 1
4 4 8 2 2 1
4 6 8 2 2 1
4 16 8 2 2 1
4 18 8 2 2 1
1 4 8 2 2 1
1 18 8 2 2 1
4 15 8 2 1 1
0 5 8 1 1 1
0 18 8 1 1 1
1 15 8 1 1 1
3 5 8 1 1 1
3 18 8 1 1 1
4 12 8 1 1 1
4 13 8 1 1 1
4 14 8 1 1 1
5 8 8 1 1 1
5 9 8 1 1 1
5 10 8 1 1 1
5 11 8 1 1 1
6 5 8 1 1 1
6 6 8 1 1 1
6 7 8 1 1 1
6 16 8 1 1 1
6 17 8 1 1 1
6 18 8 1 1 1
2 8 9 2 8 1
4 8 9 2 8 1
2 4 9 2 4 1
4 4 9 2 4 1
4 16 9 2 4 1
1 16 9 2 4 1
0 6 9 2 2 1
1 8 9 1 4 1
1 12 9 1 4 1
0 16 9 1 3 1
3 16 9 1 3 1
6 5 9 1 3 1
6 16 9 1 3 1
1 4 9 1 2 1
0 5 9 1 1 1
0 9 9 1 1 1
6 9 9 1 1 1
0 4 10 4 2 1
0 6 10 4 2 1
0 8 10 4 2 1
0 16 10 4 2 1
1 10 10 4 2 1
1 12 10 4 2 1
1 14 10 4 2 1
1 18 10 4 2 1
4 4 10 2 2 1
4 6 10 2 2 1
4 8 10 2 2 1
4 16 10 2 2 1
5 10 10 2 1 1
5 15 10 2 1 1
5 18 10 2 1 1
0 10 10 1 1 1
0 15 10 1 1 1
0 18 10 1 1 1
5 11 10 1 1 1
5 12 10 1 1 1
5 13 10 1 1 1
5 14 10 1 1 1
5 19 10 1 1 1
6 4 10 1 1 1
6 5 10 1 1 1
6 6 10 1 1 1
6 7 10 1 1 1
6 8 10 1 1 1
6 9 10 1 1 1
6 16 10 1 1 1
6 17 10 1 1 1
0 8 11 2 8 1
2 8 11 2 8 1
4 8 11 2 8 1
0 4 11 2 4 1
2 4 11 2 4 1
2 16 11 2 4 1
4 4 11 2 4 1
4 16 11 2 4 1
0 16 11 2 2 1
6 4 11 1 4 1
6 8 11 1 4 1
6 12 11 1 4 1
6 16 11 1 3 1
1 18 11 1 2 1
0 18 11 1 1 1
2 3 11 1 1 1
3 3 11 1 1 1
4 3 11 1 1 1
0 4 12 4 2 1
0 6 12 4 2 1
0 8 12 4 2 1
0 10 12 4 2 1
0 12 12 4 2 1
0 14 12 4 2 1
0 16 12 4 2 1
1 18 12 4 2 1
4 4 12 2 2 1
4 6 12 2 2 1
4 8 12 2 2 1
4 10 12 2 2 1
4 12 12 2 2 1
4 14 12 2 2 1
4 16 12 2 2 1
2 3 12 3 1 1
5 18 12 2 1 1
0 18 12 1 1 1
