X Y Z sizeX sizeY sizeZ
0 0 0 8 2 1
0 2 0 8 2 1
0 4 0 8 2 1
0 6 0 8 2 1
0 8 0 8 2 1
0 36 0 8 2 1
0 38 0 8 2 1
0 40 0 8 2 1
0 42 0 8 2 1
0 44 0 8 2 1
35 0 0 8 2 1
35 2 0 8 2 1
35 4 0 8 2 1
35 6 0 8 2 1
35 8 0 8 2 1
35 35 0 8 2 1
35 37 0 8 2 1
35 39 0 8 2 1
35 41 0 8 2 1
35 43 0 8 2 1
8 0 0 2 8 1
44 0 0 2 8 1
8 35 0 2 8 1
43 35 0 2 8 1
8 8 0 2 2 1
8 44 0 2 2 1
44 8 0 2 2 1
44 44 0 2 2 1
43 0 0 1 4 1
43 4 0 1 4 1
8 43 0 2 1 1
43 43 0 2 1 1
43 8 0 1 2 1
43 44 0 1 1 1
1 1 1 2 8 1
1 36 1 2 8 1
3 1 1 2 8 1
3 36 1 2 8 1
5 1 1 2 8 1
5 36 1 2 8 1
7 1 1 2 8 1
7 36 1 2 8 1
36 1 1 2 8 1
36 36 1 2 8 1
38 1 1 2 8 1
38 36 1 2 8 1
40 1 1 2 8 1
40 36 1 2 8 1
42 1 1 2 8 1
42 36 1 2 8 1
9 4 1 1 4 1
9 36 1 1 4 1
9 40 1 1 4 1
44 4 1 1 4 1
44 36 1 1 4 1
44 40 1 1 4 1
4 9 1 4 1 1
4 44 1 4 1 1
36 9 1 4 1 1
36 44 1 4 1 1
40 9 1 4 1 1
40 44 1 4 1 1
9 1 1 1 3 1
44 1 1 1 3 1
1 9 1 3 1 1
1 44 1 3 1 1
9 8 1 1 2 1
44 8 1 1 2 1
8 44 1 2 1 1
8 9 1 1 1 1
44 44 1 1 1 1
1 1 2 8 2 1
1 3 2 8 2 1
1 5 2 8 2 1
1 7 2 8 2 1
1 36 2 8 2 1
1 38 2 8 2 1
1 40 2 8 2 1
1 42 2 8 2 1
36 1 2 8 2 1
36 3 2 8 2 1
36 5 2 8 2 1
36 7 2 8 2 1
36 36 2 8 2 1
36 38 2 8 2 1
36 40 2 8 2 1
36 42 2 8 2 1
4 9 2 4 1 1
4 44 2 4 1 1
