X Y Z sizeX sizeY sizeZ
16 8 0 8 2 1
16 10 0 8 2 1
16 12 0 8 2 1
16 14 0 8 2 1
16 16 0 8 2 1
16 18 0 8 2 1
16 20 0 8 2 1
16 22 0 8 2 1
16 24 0 8 2 1
16 26 0 8 2 1
24 8 0 8 2 1
24 10 0 8 2 1
24 12 0 8 2 1
24 14 0 8 2 1
24 16 0 8 2 1
24 18 0 8 2 1
24 20 0 8 2 1
24 22 0 8 2 1
24 24 0 8 2 1
24 26 0 8 2 1
17 6 0 8 2 1
17 28 0 8 2 1
12 16 0 2 8 1
14 8 0 2 8 1
14 16 0 2 8 1
32 16 0 2 8 1
34 16 0 2 8 1
32 12 0 4 2 1
32 14 0 4 2 1
25 5 0 4 2 1
25 28 0 4 2 1
12 12 0 2 4 1
14 24 0 2 2 1
32 10 0 2 2 1
32 24 0 2 2 1
29 6 0 2 2 1
20 5 0 4 1 1
20 30 0 4 1 1
24 30 0 4 1 1
25 7 0 4 1 1
11 16 0 1 4 1
36 16 0 1 4 1
29 28 0 3 1 1
13 9 0 1 3 1
11 13 0 1 3 1
11 20 0 1 3 1
12 24 0 2 1 1
14 26 0 2 1 1
32 9 0 2 1 1
32 26 0 2 1 1
15 7 0 2 1 1
34 10 0 1 2 1
12 11 0 1 1 1
13 25 0 1 1 1
15 27 0 1 1 1
24 5 0 1 1 1
31 7 0 1 1 1
32 8 0 1 1 1
34 24 0 1 1 1
12 16 1 2 8 1
14 16 1 2 8 1
16 8 1 2 8 1
16 16 1 2 8 1
18 8 1 2 8 1
18 16 1 2 8 1
20 8 1 2 8 1
20 16 1 2 8 1
22 8 1 2 8 1
22 16 1 2 8 1
24 8 1 2 8 1
24 16 1 2 8 1
26 8 1 2 8 1
26 16 1 2 8 1
28 8 1 2 8 1
28 16 1 2 8 1
30 8 1 2 8 1
30 16 1 2 8 1
32 16 1 2 8 1
34 12 1 2 8 1
16 24 1 8 2 1
16 26 1 8 2 1
24 24 1 8 2 1
24 26 1 8 2 1
17 6 1 8 2 1
18 28 1 8 2 1
12 12 1 2 4 1
14 12 1 2 4 1
32 12 1 2 4 1
25 6 1 4 2 1
14 10 1 2 2 1
14 24 1 2 2 1
26 28 1 2 2 1
32 10 1 2 2 1
32 24 1 2 2 1
34 20 1 2 2 1
11 16 1 1 4 1
20 5 1 4 1 1
24 5 1 4 1 1
22 30 1 4 1 1
34 22 1 1 3 1
36 16 1 1 3 1
28 28 1 3 1 1
29 7 1 3 1 1
11 14 1 1 2 1
11 20 1 1 2 1
13 10 1 1 2 1
13 24 1 1 2 1
15 8 1 1 2 1
15 26 1 1 2 1
32 8 1 1 2 1
12 11 1 1 1 1
14 9 1 1 1 1
14 26 1 1 1 1
16 7 1 1 1 1
17 28 1 1 1 1
28 29 1 1 1 1
29 6 1 1 1 1
32 26 1 1 1 1
33 9 1 1 1 1
34 11 1 1 1 1
35 22 1 1 1 1
16 8 2 8 2 1
16 10 2 8 2 1
16 12 2 8 2 1
16 14 2 8 2 1
16 16 2 8 2 1
16 18 2 8 2 1
16 20 2 8 2 1
16 22 2 8 2 1
16 24 2 8 2 1
16 26 2 8 2 1
24 8 2 8 2 1
24 10 2 8 2 1
24 12 2 8 2 1
24 14 2 8 2 1
24 16 2 8 2 1
24 18 2 8 2 1
24 20 2 8 2 1
24 22 2 8 2 1
24 24 2 8 2 1
24 26 2 8 2 1
18 6 2 8 2 1
19 28 2 8 2 1
12 16 2 2 8 1
14 16 2 2 8 1
32 16 2 2 8 1
34 13 2 2 8 1
12 12 2 4 2 1
12 14 2 4 2 1
26 6 2 4 2 1
32 12 2 2 4 1
14 10 2 2 2 1
14 24 2 2 2 1
32 10 2 2 2 1
32 24 2 2 2 1
21 5 2 4 1 1
27 28 2 4 1 1
11 16 2 1 4 1
34 21 2 1 4 1
14 9 2 2 1 1
14 26 2 2 1 1
16 7 2 2 1 1
17 28 2 2 1 1
25 5 2 2 1 1
11 14 2 1 2 1
13 10 2 1 2 1
34 11 2 1 2 1
11 20 2 1 1 1
13 24 2 1 1 1
15 8 2 1 1 1
27 29 2 1 1 1
30 7 2 1 1 1
32 9 2 1 1 1
32 26 2 1 1 1
35 21 2 1 1 1
14 16 3 2 8 1
16 8 3 2 8 1
16 16 3 2 8 1
18 8 3 2 8 1
18 16 3 2 8 1
20 8 3 2 8 1
20 16 3 2 8 1
22 8 3 2 8 1
22 16 3 2 8 1
24 8 3 2 8 1
24 16 3 2 8 1
26 8 3 2 8 1
26 16 3 2 8 1
28 8 3 2 8 1
28 16 3 2 8 1
30 8 3 2 8 1
30 16 3 2 8 1
32 16 3 2 8 1
12 13 3 2 8 1
34 14 3 2 8 1
16 24 3 8 2 1
16 26 3 8 2 1
24 24 3 8 2 1
24 26 3 8 2 1
19 6 3 8 2 1
20 28 3 8 2 1
14 12 3 2 4 1
32 12 3 2 4 1
14 10 3 2 2 1
14 24 3 2 2 1
32 10 3 2 2 1
12 21 3 2 2 1
27 6 3 2 2 1
32 24 3 1 3 1
17 28 3 3 1 1
34 12 3 1 2 1
34 22 3 1 2 1
11 17 3 1 2 1
13 11 3 1 2 1
13 23 3 1 2 1
28 28 3 2 1 1
17 7 3 2 1 1
23 5 3 2 1 1
29 7 3 2 1 1
15 9 3 1 1 1
15 26 3 1 1 1
32 9 3 1 1 1
33 24 3 1 1 1
16 6 4 8 2 1
16 8 4 8 2 1
16 10 4 8 2 1
16 12 4 8 2 1
16 14 4 8 2 1
16 16 4 8 2 1
16 18 4 8 2 1
16 20 4 8 2 1
16 22 4 8 2 1
16 24 4 8 2 1
16 26 4 8 2 1
16 28 4 8 2 1
24 6 4 8 2 1
24 8 4 8 2 1
24 10 4 8 2 1
24 12 4 8 2 1
24 14 4 8 2 1
24 16 4 8 2 1
24 18 4 8 2 1
24 20 4 8 2 1
24 22 4 8 2 1
24 24 4 8 2 1
24 26 4 8 2 1
24 28 4 8 2 1
17 4 4 8 2 1
19 30 4 8 2 1
10 16 4 2 8 1
12 8 4 2 8 1
12 16 4 2 8 1
