X Y Z sizeX sizeY sizeZ
85 46 0 2 4 1
83 39 0 2 2 1
84 43 0 2 2 1
85 50 0 2 2 1
84 41 0 1 2 1
84 49 0 1 2 1
83 38 0 1 1 1
85 45 0 1 1 1
85 52 0 1 1 1
76 48 1 2 8 1
76 72 1 2 8 1
78 48 1 2 8 1
78 64 1 2 8 1
78 72 1 2 8 1
80 48 1 2 8 1
80 56 1 2 8 1
80 64 1 2 8 1
82 48 1 2 8 1
82 56 1 2 8 1
82 64 1 2 8 1
84 48 1 2 8 1
72 45 1 2 8 1
74 44 1 2 8 1
74 74 1 2 8 1
83 40 1 2 8 1
72 80 1 2 4 1
76 44 1 2 4 1
78 44 1 2 4 1
78 56 1 2 4 1
80 44 1 2 4 1
80 72 1 2 4 1
84 56 1 2 4 1
69 46 1 2 4 1
77 42 1 4 2 1
74 52 1 2 2 1
76 70 1 2 2 1
76 80 1 2 2 1
78 62 1 2 2 1
82 72 1 2 2 1
84 60 1 2 2 1
71 84 1 2 2 1
81 41 1 2 2 1
71 48 1 1 4 1
82 44 1 1 4 1
84 64 1 1 4 1
84 68 1 1 4 1
85 44 1 1 4 1
77 65 1 1 4 1
71 45 1 1 3 1
84 72 1 1 3 1
68 46 1 1 3 1
73 77 1 1 3 1
75 71 1 1 3 1
77 56 1 1 3 1
80 76 1 1 3 1
86 47 1 1 3 1
74 82 1 3 1 1
75 54 1 1 2 1
78 80 1 1 2 1
79 60 1 1 2 1
82 74 1 1 2 1
83 38 1 1 2 1
84 62 1 1 2 1
76 69 1 2 1 1
81 43 1 2 1 1
70 50 1 1 1 1
73 44 1 1 1 1
73 53 1 1 1 1
73 84 1 1 1 1
74 54 1 1 1 1
74 83 1 1 1 1
76 43 1 1 1 1
76 56 1 1 1 1
78 61 1 1 1 1
80 41 1 1 1 1
81 76 1 1 1 1
85 43 1 1 1 1
56 42 2 8 2 1
56 44 2 8 2 1
56 46 2 8 2 1
56 48 2 8 2 1
56 68 2 8 2 1
56 70 2 8 2 1
56 72 2 8 2 1
56 74 2 8 2 1
56 76 2 8 2 1
56 78 2 8 2 1
56 80 2 8 2 1
56 82 2 8 2 1
56 84 2 8 2 1
56 86 2 8 2 1
64 40 2 8 2 1
64 42 2 8 2 1
64 44 2 8 2 1
64 46 2 8 2 1
64 48 2 8 2 1
64 50 2 8 2 1
64 52 2 8 2 1
64 54 2 8 2 1
64 56 2 8 2 1
64 58 2 8 2 1
64 60 2 8 2 1
64 62 2 8 2 1
64 64 2 8 2 1
64 66 2 8 2 1
64 68 2 8 2 1
64 70 2 8 2 1
64 72 2 8 2 1
64 74 2 8 2 1
64 76 2 8 2 1
64 78 2 8 2 1
64 80 2 8 2 1
64 82 2 8 2 1
64 84 2 8 2 1
72 34 2 8 2 1
72 36 2 8 2 1
72 38 2 8 2 1
72 40 2 8 2 1
72 42 2 8 2 1
72 44 2 8 2 1
72 46 2 8 2 1
72 48 2 8 2 1
72 50 2 8 2 1
72 52 2 8 2 1
72 54 2 8 2 1
72 56 2 8 2 1
72 58 2 8 2 1
72 60 2 8 2 1
72 62 2 8 2 1
72 64 2 8 2 1
72 66 2 8 2 1
72 68 2 8 2 1
72 70 2 8 2 1
72 72 2 8 2 1
72 74 2 8 2 1
72 76 2 8 2 1
72 78 2 8 2 1
49 88 2 8 2 1
68 32 2 8 2 1
52 80 2 2 8 1
54 72 2 2 8 1
54 80 2 2 8 1
60 56 2 2 8 1
62 56 2 2 8 1
80 40 2 2 8 1
80 48 2 2 8 1
80 56 2 2 8 1
80 64 2 2 8 1
82 40 2 2 8 1
82 48 2 2 8 1
82 56 2 2 8 1
82 64 2 2 8 1
84 48 2 2 8 1
58 60 2 2 8 1
48 90 2 4 2 1
52 44 2 4 2 1
60 50 2 4 2 1
60 52 2 4 2 1
60 54 2 4 2 1
60 64 2 4 2 1
60 66 2 4 2 1
64 86 2 4 2 1
68 34 2 4 2 1
68 36 2 4 2 1
68 38 2 4 2 1
