X Y Z sizeX sizeY sizeZ
0 12 0 8 2 1
3 14 0 2 8 1
5 14 0 2 8 1
4 8 0 4 2 1
4 10 0 4 2 1
7 14 0 2 4 1
9 11 0 2 4 1
4 6 0 2 2 1
0 11 0 4 1 1
2 14 0 1 4 1
7 18 0 1 4 1
4 22 0 3 1 1
5 36 0 1 3 1
3 8 0 1 3 1
8 11 0 1 3 1
0 14 0 2 1 1
6 6 0 1 2 1
5 27 0 1 1 1
2 8 1 2 8 1
4 8 1 2 8 1
4 16 1 2 8 1
6 8 1 2 8 1
6 16 1 2 8 1
8 10 1 2 8 1
2 16 1 2 4 1
4 4 1 2 4 1
6 4 1 2 4 1
0 10 1 2 4 1
2 20 1 2 2 1
4 24 1 2 2 1
1 14 1 1 4 1
5 35 1 1 4 1
8 18 1 1 4 1
10 10 1 1 4 1
6 24 1 1 3 1
3 5 1 1 3 1
3 22 1 1 3 1
5 26 1 1 3 1
4 3 1 3 1 1
8 8 1 1 2 1
0 14 1 1 1 1
4 26 1 1 1 1
7 24 1 1 1 1
8 22 1 1 1 1
9 18 1 1 1 1
10 14 1 1 1 1
1 10 2 8 2 1
1 12 2 8 2 1
1 14 2 8 2 1
1 16 2 8 2 1
1 18 2 8 2 1
4 1 2 2 8 1
4 20 2 2 8 1
2 20 2 2 4 1
6 4 2 2 4 1
6 20 2 2 4 1
2 6 2 2 4 1
6 8 2 2 2 1
6 24 2 2 2 1
9 13 2 2 2 1
8 20 2 1 4 1
9 16 2 1 4 1
5 34 2 1 4 1
8 6 2 1 4 1
9 9 2 1 4 1
4 28 2 3 1 1
3 3 2 1 3 1
3 24 2 1 3 1
6 1 2 1 3 1
4 9 2 2 1 1
6 26 2 2 1 1
0 13 2 1 1 1
1 20 2 1 1 1
6 27 2 1 1 1
7 3 2 1 1 1
8 24 2 1 1 1
9 15 2 1 1 1
9 20 2 1 1 1
2 8 3 2 8 1
2 16 3 2 8 1
4 0 3 2 8 1
4 8 3 2 8 1
4 16 3 2 8 1
4 24 3 2 8 1
6 8 3 2 8 1
6 16 3 2 8 1
8 9 3 2 8 1
6 4 3 2 4 1
6 24 3 2 4 1
5 32 3 2 4 1
8 17 3 2 4 1
2 6 3 2 2 1
2 24 3 2 2 1
6 2 3 2 2 1
8 21 3 2 2 1
1 12 3 1 4 1
1 16 3 1 4 1
6 28 3 1 4 1
8 4 3 1 4 1
3 2 3 1 4 1
1 9 3 1 3 1
3 26 3 1 3 1
4 32 3 1 3 1
8 23 3 1 3 1
1 20 3 1 2 1
5 36 3 1 2 1
6 0 3 1 2 1
2 5 3 1 1 1
7 28 3 1 1 1
8 8 3 1 1 1
1 9 4 8 2 1
1 11 4 8 2 1
1 13 4 8 2 1
1 15 4 8 2 1
1 17 4 8 2 1
1 19 4 8 2 1
4 0 4 2 8 1
4 24 4 2 8 1
6 21 4 2 8 1
2 21 4 4 2 1
4 32 4 2 4 1
6 4 4 2 4 1
2 5 4 2 4 1
2 24 4 2 2 1
6 2 4 2 2 1
4 8 4 4 1 1
2 23 4 4 1 1
6 32 4 1 4 1
8 4 4 1 4 1
9 12 4 1 4 1
9 16 4 1 4 1
8 21 4 1 4 1
9 9 4 1 3 1
3 2 4 1 3 1
3 26 4 1 3 1
6 29 4 1 3 1
5 36 4 1 2 1
6 0 4 1 2 1
9 20 4 1 2 1
1 21 4 1 1 1
8 8 4 1 1 1
8 25 4 1 1 1
2 8 5 2 8 1
2 16 5 2 8 1
4 8 5 2 8 1
4 16 5 2 8 1
4 24 5 2 8 1
6 8 5 2 8 1
6 16 5 2 8 1
8 11 5 2 8 1
4 4 5 2 4 1
6 4 5 2 4 1
6 24 5 2 4 1
2 6 5 2 2 1
4 2 5 2 2 1
4 32 5 2 2 1
8 19 5 2 2 1
1 12 5 1 4 1
1 16 5 1 4 1
3 24 5 1 4 1
6 28 5 1 4 1
5 34 5 1 4 1
8 6 5 1 4 1
8 21 5 1 4 1
3 3 5 1 3 1
6 32 5 1 3 1
6 2 5 1 2 1
1 20 5 1 1 1
2 24 5 1 1 1
4 34 5 1 1 1
5 1 5 1 1 1
7 3 5 1 1 1
7 28 5 1 1 1
8 10 5 1 1 1
4 8 6 2 8 1
4 16 6 2 8 1
6 8 6 2 8 1
6 16 6 2 8 1
2 10 6 2 8 1
4 6 6 4 2 1
4 24 6 4 2 1
2 18 6 2 4 1
4 4 6 2 2 1
4 26 6 2 2 1
5 28 6 1 4 1
8 12 6 1 4 1
8 16 6 1 4 1
3 6 6 1 4 1
3 22 6 1 4 1
5 34 6 1 4 1
8 9 6 1 3 1
6 26 6 1 3 1
8 20 6 1 3 1
6 4 6 1 2 1
2 22 6 1 1 1
4 28 6 1 1 1
5 38 6 1 1 1
4 16 7 2 8 1
6 10 7 2 8 1
4 12 7 2 4 1
6 18 7 2 4 1
4 10 7 2 2 1
3 12 7 1 4 1
3 16 7 1 4 1
5 35 7 1 4 1
3 20 7 1 3 1
4 9 7 3 1 1
3 10 7 1 2 1
6 22 7 1 2 1
4 24 7 2 1 1
7 22 7 1 1 1
8 15 7 1 1 1
4 16 8 2 4 1
4 14 8 2 2 1
5 36 8 1 4 1
6 16 8 1 4 1
6 14 8 1 2 1
5 15 9 1 4 1
5 37 9 1 3 1
5 16 10 1 3 1
5 39 10 1 1 1
5 17 11 1 2 1
