X Y Z sizeX sizeY sizeZ
1 0 0 4 2 1
1 2 0 4 2 1
14 0 0 4 2 1
14 2 0 4 2 1
1 4 0 4 1 1
14 4 0 4 1 1
2 0 1 2 4 1
4 0 1 2 4 1
12 0 1 2 4 1
14 0 1 2 4 1
16 0 1 2 4 1
1 0 1 1 4 1
6 0 1 1 4 1
12 4 1 4 1 1
1 4 1 4 1 1
16 4 1 2 1 1
5 4 1 2 1 1
1 0 2 8 2 1
1 2 2 8 2 1
10 0 2 8 2 1
10 2 2 8 2 1
4 4 2 4 1 1
12 4 2 4 1 1
1 4 2 3 1 1
10 4 2 2 1 1
16 4 2 2 1 1
8 4 2 1 1 1
8 0 3 8 2 1
2 3 3 8 2 1
4 0 3 4 2 1
12 2 3 4 2 1
2 0 3 2 2 1
10 2 3 2 2 1
16 0 3 1 4 1
4 2 3 4 1 1
12 4 3 4 1 1
2 2 3 2 1 1
10 4 3 2 1 1
8 2 3 1 1 1
16 4 3 1 1 1
8 0 4 8 2 1
2 3 4 8 2 1
4 0 4 4 2 1
12 2 4 4 2 1
2 0 4 2 2 1
10 2 4 2 2 1
4 2 4 4 1 1
12 4 4 4 1 1
16 0 4 1 4 1
2 2 4 2 1 1
10 4 4 2 1 1
8 2 4 1 1 1
16 4 4 1 1 1
8 0 5 8 2 1
3 3 5 8 2 1
4 0 5 4 2 1
12 2 5 4 2 1
4 2 5 4 1 1
12 4 5 4 1 1
3 0 5 1 3 1
11 2 5 1 3 1
8 2 5 1 1 1
10 2 5 1 1 1
8 0 6 8 2 1
3 3 6 8 2 1
4 0 6 4 2 1
12 2 6 4 2 1
4 2 6 4 1 1
12 4 6 4 1 1
3 0 6 1 3 1
11 2 6 1 3 1
8 2 6 1 1 1
10 2 6 1 1 1
8 0 7 8 2 1
3 3 7 8 2 1
4 0 7 4 2 1
12 2 7 4 2 1
4 2 7 4 1 1
12 4 7 4 1 1
3 0 7 1 3 1
11 2 7 1 3 1
8 2 7 1 1 1
10 2 7 1 1 1
8 0 8 8 2 1
2 3 8 8 2 1
4 0 8 4 2 1
12 2 8 4 2 1
2 0 8 2 2 1
10 2 8 2 2 1
4 2 8 4 1 1
12 4 8 4 1 1
16 0 8 1 4 1
2 2 8 2 1 1
10 4 8 2 1 1
8 2 8 1 1 1
16 4 8 1 1 1
8 0 9 8 2 1
1 2 9 8 2 1
9 3 9 8 2 1
4 0 9 4 2 1
2 0 9 2 2 1
16 0 9 2 2 1
4 4 9 4 1 1
12 2 9 4 1 1
17 2 9 1 3 1
1 4 9 3 1 1
1 0 9 1 2 1
10 2 9 2 1 1
8 4 9 1 1 1
16 2 9 1 1 1
0 0 10 8 2 1
0 2 10 8 2 1
8 0 10 8 2 1
8 3 10 8 2 1
16 0 10 2 4 1
0 4 10 4 1 1
4 4 10 4 1 1
12 2 10 4 1 1
18 0 10 1 4 1
16 4 10 3 1 1
10 2 10 2 1 1
8 2 10 1 1 1
0 0 11 8 2 1
0 2 11 8 2 1
8 0 11 8 2 1
8 3 11 8 2 1
16 0 11 2 4 1
18 0 11 1 4 1
0 4 11 4 1 1
4 4 11 4 1 1
12 2 11 4 1 1
16 4 11 3 1 1
10 2 11 2 1 1
8 2 11 1 1 1
0 0 12 8 2 1
0 2 12 8 2 1
8 0 12 8 2 1
8 3 12 8 2 1
16 0 12 2 4 1
0 4 12 4 1 1
4 4 12 4 1 1
12 2 12 4 1 1
18 0 12 1 4 1
16 4 12 3 1 1
10 2 12 2 1 1
8 2 12 1 1 1
6 0 13 2 4 1
8 0 13 2 4 1
10 0 13 2 4 1
12 0 13 1 4 1
8 4 13 4 1 1
6 4 13 2 1 1
12 4 13 1 1 1
8 0 14 4 2 1
8 2 14 4 2 1
6 0 14 2 4 1
8 4 14 4 1 1
12 0 14 1 4 1
6 4 14 2 1 1
12 4 14 1 1 1
8 0 15 2 4 1
10 0 15 2 4 1
7 0 15 1 4 1
8 4 15 4 1 1
7 4 15 1 1 1
8 0 16 4 2 1
8 2 16 4 2 1
8 4 16 4 1 1
7 0 16 1 4 1
7 4 16 1 1 1
8 0 17 2 4 1
10 0 17 1 4 1
8 4 17 3 1 1
